,group id,time,participant id,condition,meeting,date
0,11111,0.0,111,Condition B,Meeting 1,2016-03-03 16:16:25
1,11111,2.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
2,11111,4.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
3,11111,6.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
4,11111,8.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
5,11111,10.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
6,11111,12.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
7,11111,14.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
8,11111,16.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
9,11111,18.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
10,11111,20.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
11,11111,22.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
12,11111,24.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
13,11111,26.0,111,Condition B,Meeting 1,2016-03-03 16:16:25
14,11111,28.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
15,11111,30.0,111,Condition B,Meeting 1,2016-03-03 16:16:25
16,11111,32.0,111,Condition B,Meeting 1,2016-03-03 16:16:25
17,11111,34.0,111,Condition B,Meeting 1,2016-03-03 16:16:25
18,11111,36.0,111,Condition B,Meeting 1,2016-03-03 16:16:25
19,11111,38.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
20,11111,40.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
21,11111,42.0,111,Condition B,Meeting 1,2016-03-03 16:16:25
22,11111,44.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
23,11111,46.0,111,Condition B,Meeting 1,2016-03-03 16:16:25
24,11111,48.0,111,Condition B,Meeting 1,2016-03-03 16:16:25
25,11111,50.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
26,11111,52.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
27,11111,54.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
28,11111,56.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
29,11111,58.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
30,11111,60.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
31,11111,62.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
32,11111,64.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
33,11111,66.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
34,11111,68.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
35,11111,70.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
36,11111,72.0,111,Condition B,Meeting 1,2016-03-03 16:16:25
37,11111,74.0,111,Condition B,Meeting 1,2016-03-03 16:16:25
38,11111,76.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
39,11111,78.0,111,Condition B,Meeting 1,2016-03-03 16:16:25
40,11111,80.0,111,Condition B,Meeting 1,2016-03-03 16:16:25
41,11111,82.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
42,11111,84.0,111,Condition B,Meeting 1,2016-03-03 16:16:25
43,11111,86.0,111,Condition B,Meeting 1,2016-03-03 16:16:25
44,11111,88.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
45,11111,90.0,111,Condition B,Meeting 1,2016-03-03 16:16:25
46,11111,92.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
47,11111,94.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
48,11111,96.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
49,11111,98.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
